weight_measure,hip_range,ankle_range,fitness
0.8899999999999999,-30 30,"[30, 70]",1.158462233323764
0.8899999999999999,-40 40,"[80, 90]",0.5365462958440184
0.8899999999999999,-40 40,"[5, 10]",0.9111103286175373
0.8899999999999999,-10 10,"[30, 70]",0.8199743546622966
2.28,-30 30,"[30, 70]",4.391900812660559
0.8899999999999999,-30 30,"[30, 70]",0.8484276522270011
1.21,-30 30,"[30, 70]",1.040152460109451
0.8899999999999999,-30 30,"[30, 70]",1.2244021694609057
